subject,image,faces_detected
s23,6.pgm_gaussian.pgm,1
s23,7.pgm_gaussian.pgm,1
s23,8.pgm_gaussian.pgm,1
s23,9.pgm_gaussian.pgm,1
s23,10.pgm_gaussian.pgm,1
s24,1.pgm_gaussian.pgm,1
s24,2.pgm_gaussian.pgm,1
s24,3.pgm_gaussian.pgm,1
s24,4.pgm_gaussian.pgm,1
s24,5.pgm_gaussian.pgm,1
s24,6.pgm_gaussian.pgm,1
s24,7.pgm_gaussian.pgm,1
s24,8.pgm_gaussian.pgm,1
s24,9.pgm_gaussian.pgm,1
s24,10.pgm_gaussian.pgm,1
s25,1.pgm_gaussian.pgm,1
s25,2.pgm_gaussian.pgm,1
s25,3.pgm_gaussian.pgm,1
s25,4.pgm_gaussian.pgm,1
s25,5.pgm_gaussian.pgm,1
s25,6.pgm_gaussian.pgm,1
s25,7.pgm_gaussian.pgm,1
s25,8.pgm_gaussian.pgm,1
s25,9.pgm_gaussian.pgm,1
s25,10.pgm_gaussian.pgm,1
s26,1.pgm_gaussian.pgm,1
s26,2.pgm_gaussian.pgm,1
s26,3.pgm_gaussian.pgm,1
s26,4.pgm_gaussian.pgm,1
s26,5.pgm_gaussian.pgm,1
s26,6.pgm_gaussian.pgm,1
s26,7.pgm_gaussian.pgm,1
s26,8.pgm_gaussian.pgm,1
s26,9.pgm_gaussian.pgm,1
s26,10.pgm_gaussian.pgm,1
s27,1.pgm_gaussian.pgm,1
s27,2.pgm_gaussian.pgm,1
s27,3.pgm_gaussian.pgm,1
s27,4.pgm_gaussian.pgm,1
s27,5.pgm_gaussian.pgm,1
s27,6.pgm_gaussian.pgm,1
s27,7.pgm_gaussian.pgm,1
s27,8.pgm_gaussian.pgm,1
s27,9.pgm_gaussian.pgm,1
s27,10.pgm_gaussian.pgm,1
s28,1.pgm_gaussian.pgm,1
s28,2.pgm_gaussian.pgm,1
s28,3.pgm_gaussian.pgm,1
s28,4.pgm_gaussian.pgm,1
s28,5.pgm_gaussian.pgm,1
s28,6.pgm_gaussian.pgm,1
s28,7.pgm_gaussian.pgm,1
s28,8.pgm_gaussian.pgm,1
s28,9.pgm_gaussian.pgm,1
s28,10.pgm_gaussian.pgm,1
s29,1.pgm_gaussian.pgm,1
s29,2.pgm_gaussian.pgm,1
s29,3.pgm_gaussian.pgm,1
s29,4.pgm_gaussian.pgm,1
s29,5.pgm_gaussian.pgm,1
s29,6.pgm_gaussian.pgm,1
s29,7.pgm_gaussian.pgm,1
s29,8.pgm_gaussian.pgm,1
s29,9.pgm_gaussian.pgm,1
s29,10.pgm_gaussian.pgm,1
s30,1.pgm_gaussian.pgm,1
s30,2.pgm_gaussian.pgm,1
s30,3.pgm_gaussian.pgm,1
s30,4.pgm_gaussian.pgm,1
s30,5.pgm_gaussian.pgm,2
s30,6.pgm_gaussian.pgm,1
s30,7.pgm_gaussian.pgm,1
s30,8.pgm_gaussian.pgm,1
s30,9.pgm_gaussian.pgm,1
s30,10.pgm_gaussian.pgm,1
s31,1.pgm_gaussian.pgm,1
s31,2.pgm_gaussian.pgm,1
s31,3.pgm_gaussian.pgm,1
s31,4.pgm_gaussian.pgm,1
s31,5.pgm_gaussian.pgm,1
s31,6.pgm_gaussian.pgm,1
s31,7.pgm_gaussian.pgm,1
s31,8.pgm_gaussian.pgm,1
s31,9.pgm_gaussian.pgm,1
s31,10.pgm_gaussian.pgm,1
s32,1.pgm_gaussian.pgm,1
s32,2.pgm_gaussian.pgm,2
s32,3.pgm_gaussian.pgm,2
s32,4.pgm_gaussian.pgm,1
s32,5.pgm_gaussian.pgm,2
s32,6.pgm_gaussian.pgm,1
s32,7.pgm_gaussian.pgm,1
s32,8.pgm_gaussian.pgm,2
s32,9.pgm_gaussian.pgm,2
s32,10.pgm_gaussian.pgm,1
s33,1.pgm_gaussian.pgm,1
s33,2.pgm_gaussian.pgm,1
s33,3.pgm_gaussian.pgm,1
s33,4.pgm_gaussian.pgm,1
s33,5.pgm_gaussian.pgm,1
s33,6.pgm_gaussian.pgm,1
s33,7.pgm_gaussian.pgm,1
s33,8.pgm_gaussian.pgm,1
s33,9.pgm_gaussian.pgm,1
s33,10.pgm_gaussian.pgm,1
s34,1.pgm_gaussian.pgm,1
s34,2.pgm_gaussian.pgm,1
s34,3.pgm_gaussian.pgm,1
s34,4.pgm_gaussian.pgm,1
s34,5.pgm_gaussian.pgm,1
s34,6.pgm_gaussian.pgm,1
s34,7.pgm_gaussian.pgm,1
s34,8.pgm_gaussian.pgm,1
s34,9.pgm_gaussian.pgm,1
s34,10.pgm_gaussian.pgm,1
s35,1.pgm_gaussian.pgm,1
s35,2.pgm_gaussian.pgm,1
s35,3.pgm_gaussian.pgm,1
s35,4.pgm_gaussian.pgm,1
s35,5.pgm_gaussian.pgm,1
s35,6.pgm_gaussian.pgm,1
s35,7.pgm_gaussian.pgm,1
s35,8.pgm_gaussian.pgm,1
s35,9.pgm_gaussian.pgm,1
s35,10.pgm_gaussian.pgm,1
s36,1.pgm_gaussian.pgm,1
s36,2.pgm_gaussian.pgm,1
s36,3.pgm_gaussian.pgm,1
s36,4.pgm_gaussian.pgm,1
s36,5.pgm_gaussian.pgm,1
s36,6.pgm_gaussian.pgm,1
s36,7.pgm_gaussian.pgm,1
s36,8.pgm_gaussian.pgm,1
s36,9.pgm_gaussian.pgm,1
s36,10.pgm_gaussian.pgm,1
s37,1.pgm_gaussian.pgm,1
s37,2.pgm_gaussian.pgm,1
s37,3.pgm_gaussian.pgm,1
s37,4.pgm_gaussian.pgm,1
s37,5.pgm_gaussian.pgm,1
s37,6.pgm_gaussian.pgm,1
s37,7.pgm_gaussian.pgm,1
s37,8.pgm_gaussian.pgm,1
s37,9.pgm_gaussian.pgm,1
s37,10.pgm_gaussian.pgm,1
s38,1.pgm_gaussian.pgm,1
s38,2.pgm_gaussian.pgm,1
s38,3.pgm_gaussian.pgm,1
s38,4.pgm_gaussian.pgm,1
s38,5.pgm_gaussian.pgm,1
s38,6.pgm_gaussian.pgm,1
s38,7.pgm_gaussian.pgm,1
s38,8.pgm_gaussian.pgm,1
s38,9.pgm_gaussian.pgm,1
s38,10.pgm_gaussian.pgm,1
s39,1.pgm_gaussian.pgm,1
s39,2.pgm_gaussian.pgm,1
s39,3.pgm_gaussian.pgm,1
s39,4.pgm_gaussian.pgm,1
s39,5.pgm_gaussian.pgm,2
s39,6.pgm_gaussian.pgm,1
s39,7.pgm_gaussian.pgm,1
s39,8.pgm_gaussian.pgm,1
s39,9.pgm_gaussian.pgm,1
s39,10.pgm_gaussian.pgm,1
s40,1.pgm_gaussian.pgm,1
s40,2.pgm_gaussian.pgm,1
s40,3.pgm_gaussian.pgm,1
s40,4.pgm_gaussian.pgm,1
s40,5.pgm_gaussian.pgm,1
s40,6.pgm_gaussian.pgm,1
s40,7.pgm_gaussian.pgm,2
s40,8.pgm_gaussian.pgm,1
s40,9.pgm_gaussian.pgm,1
s40,10.pgm_gaussian.pgm,1
